,country_name,year,population,gdp,rural_population_percent,electricity_access_percent,project_cost,gdp_per_capita
0,Albania,1992,0.10087965374857978,0.011481235233046406,0.6397474055883119,1.0,0.04091760299625468,0.01495101371274021
1,Albania,1993,0.10026397264832348,0.02031698385022832,0.6335230809275376,1.0,0.12640449438202248,0.03804771139563442
2,Albania,1994,0.09964832271863729,0.033224329298808766,0.6272421714971199,1.0,0.10205992509363296,0.07204918206352959
3,Albania,1995,0.09903264161838099,0.040700633356241835,0.6209386281588448,1.0,0.06048689138576779,0.09221794132995806
4,Albania,1996,0.09841699168869479,0.05587044493915648,0.6145785000509264,1.0,0.18698501872659176,0.13295610196727622
5,Albania,1997,0.0978013105884385,0.03960010726343301,0.6082183719430079,1.0,0.028089887640449437,0.09065359026297054
6,Albania,1998,0.09718566065875228,0.04551573652108583,0.6018129760193747,1.0,0.08164794007490636,0.10714810703004174
7,Albania,1999,0.096569979558496,0.05757181331698289,0.5953849461878842,1.0,0.1644756554307116,0.14037778952224653
8,Albania,2000,0.09595432962880979,0.061273682943099414,0.5889116485406789,1.0,0.06677902621722846,0.1514052805590948
9,Albania,2001,0.09505493399966869,0.06857773666855212,0.5810576825141746,1.0,0.02546816479400749,0.17295485757063037
10,Albania,2002,0.0947693180660089,0.0749550570578158,0.568993809626201,1.0,0.09135767790262171,0.1910109027688662
11,Albania,2003,0.09441416059049654,0.09730545605070003,0.5568620350146555,1.0,0.07523408239700374,0.25330694876502596
12,Albania,2004,0.09401901127356918,0.12401823565651082,0.5446623586795378,1.0,0.17102996254681646,0.328270334228226
13,Albania,2005,0.09353736362466476,0.13839214700565328,0.5324400484365629,1.0,0.10373595505617977,0.3699714407965793
14,Albania,2006,0.09294699302731492,0.15260267422486243,0.5201724703778732,1.0,0.10387640449438201,0.4121451110514163
15,Albania,2007,0.09224472008337131,0.1817083177974229,0.5078709414573974,1.0,0.11732209737827715,0.49738487892538374
16,Albania,2008,0.09153705463080354,0.21885497731535256,0.49554677862906427,1.0,0.10383895131086142,0.606788974590463
17,Albania,2009,0.09092003319603373,0.2045925525366377,0.4832678836164459,1.0,0.07771535580524344,0.5702409607407468
18,Albania,2010,0.09046812227098737,0.20259478956201912,0.47096635469597015,1.0,0.00026217228464419474,0.5674218211760835
19,Albania,2011,0.09022418138952698,0.21901708267188202,0.4586987766372803,1.0,0.045243445692883896,0.6162876973098284
20,Albania,2012,0.09007474967655468,0.20928749516700113,0.44644251553251935,1.0,0.272940074906367,0.5892670454986658
21,Albania,2013,0.08990926511999026,0.21706480228160757,0.43452576304561863,1.0,0.0847940074906367,0.6128529708102354
22,Albania,2014,0.08972261574634026,0.22476500146667255,0.42291456831479246,1.0,0.43514044943820224,0.636455665011948
23,Albania,2015,0.08946075178708282,0.19339439076542517,0.41162024829396926,1.0,0.47005617977528086,0.5472482385386912
24,Albania,2016,0.08931730482356624,0.20185757619474698,0.4006541199370778,1.0,0.06817415730337079,0.5727690429065218
26,Algeria,1991,0.8208287422330537,0.77825099399741,0.46295395131446426,0.9837760723094152,0.6432584269662921,0.23116094738855059
27,Algeria,1992,0.8401726213702904,0.8172306797697825,0.4540588255265213,0.9848350618753624,0.1047752808988764,0.23756269365761615
28,Algeria,1993,0.8590493471737106,0.8503364177879948,0.4452089675542932,0.9858633782079694,0.6558052434456929,0.24203514738082524
29,Algeria,1994,0.8771075961479222,0.724195790744477,0.4363817434899223,0.9868305769786253,0.25149812734082394,0.19922961791700564
30,Algeria,1995,0.8939874105496202,0.7109320960594208,0.42757715333340884,0.9877059086524167,0.35580524344569286,0.19129584936556798
31,Algeria,1996,0.9097866659688615,0.7991406743672274,0.418783880130824,0.9884589289007277,0.45739700374531833,0.21296959281506223
32,Algeria,1997,0.9248548468374035,0.8202047468773197,0.41006982560574,0.9890589644902235,0.11573033707865168,0.2151747903319309
33,Algeria,1998,0.9388431077201755,0.8203731589585564,0.40136708803458465,0.9894754184891384,0.2044007490636704,0.21177551650504717
34,Algeria,2000,0.9653050670707287,0.9328605044452559,0.38319206002512374,0.9896505306048415,0.12017790262172284,0.23590776736855087
35,Algeria,2001,0.9783165513841314,0.9320847852756046,0.37421771555968,0.9894391752407897,0.07036516853932584,0.2323492838657665
36,Algeria,2002,0.9911994103400916,0.9664243081943874,0.365288638909951,0.989104287626053,0.12476591760299625,0.23815186653404205
39,Angola,1991,0.3859042661086428,0.8689485637081121,0.7645507735138011,0.12570636145536074,0.05449438202247191,0.5709352710088857
40,Angola,1992,0.3986641727509152,0.8689485637081121,0.7571834365062301,0.13751815054439923,0.17846441947565542,0.5521589104507747
41,Angola,1993,0.4117737664336506,0.8689485637081121,0.7497368808211582,0.14929934270167464,0.020786516853932582,0.5340789474338127
42,Angola,1995,0.43888036434406597,0.09414126505880488,0.7344589930174396,0.17264757710697198,0.02247191011235955,0.040064386392505216
43,Angola,1998,0.4808037680605985,0.11024807631043508,0.7107499745368538,0.2066756190407283,0.0046816479400749065,0.043892779624602356
44,Angola,2000,0.5114102131650866,0.1549366298098671,0.694408293063839,0.22835638742879763,0.044007490636704116,0.06307289643604666
