,Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
0,Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
1,Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
2,Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
3,Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
4,Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
5,Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
6,United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
7,Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
8,Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
9,American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
10,Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
11,Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
12,Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
13,Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
14,Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
15,Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
16,Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
17,Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
18,Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
19,Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
20,Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
21,"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
22,Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
23,Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
24,Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
25,Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
26,Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
27,Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
28,Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
29,Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
