,Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
0,Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
1,Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
2,Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
3,Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
4,Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
5,Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
6,United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
7,Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
8,Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
9,American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
10,Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
11,Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
12,Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
13,Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
14,Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
15,Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
16,Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
17,Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
18,Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
19,Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
20,Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
21,"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
22,Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
23,Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
24,Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
25,Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
26,Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
27,Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
28,Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
29,Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
30,Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
31,Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
32,Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
33,Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,
